Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"嗵嗵","DOUDOU","嗵嗵","CCC","Playlist","CNZ682500001","2XP3hbbZKRhrlSBf8POjuA"
"我用什么把你留住","福禄寿","我用什么把你留住","CCC","Playlist","CNC072000731","4TYi1udOmvZ0yIhHEMro5f"
"贝加尔湖畔","李健","依然","CCC","Playlist","CNF181165108","7ekpG1Gi5rvK5KLsI3CZUE"
"離人","林志炫","擦聲而過","CCC","Playlist","TWB650100501","5rwEzOpDovuwZ12wAUbzQi"
"蒙娜麗莎的眼淚","林志炫","蒙娜麗莎的眼淚 豪華典藏版","CCC","Playlist","TWB659800202","4WUEnRgbZDE2uCky0tb2Cw"
"明天會更好","Tsai Chin","明天會更好","CCC","Playlist","TWA458500001","5bcbAT32LJS87hklgOxUqM"
"南屏晚鐘","Fei Yu-ching","費玉清國語精選輯","CCC","Playlist","TWAN70260034","38p78HqMLjECALsH0MWT7U"
"如愿","Faye Wong","如愿","CCC","Playlist","HKH722102011","4x9retP0JqKa35zZZhNhNS"
"挪威的森林","Wu Bai","愛情的盡頭","CCC","Playlist","TWB879601809","5KdZLYyoBP0qsjDTDP28do"
"大海","Zhang Yu Sheng","大海","CCC","Playlist","TWA539226506","4XglvuvmwdVQ1MpV3zNUnR"
"存在","Wang Feng","生无所求 (Life Asks For Nothing)","CCC","Playlist","CNF181159201","52iiHWnWlRaYwUobhKGXW3"
"口是心非","Zhang Yu Sheng","口是心非","CCC","Playlist","TWB519704002","08JBW4HERcff7qfkfNJyMn"
"匆匆那年","Faye Wong","匆匆那年","CCC","Playlist","HKH721403011","3z4leqkfSaXQPAyGwQruTe"
"沒離開過","林志炫","擦聲而過Ⅱ","CCC","Playlist","TWB650801008","1iNAwmUw21s8LQ7Ax0gpH8"
"星辰大海","黃霄雲","星辰大海","CCC","Playlist","CNZ022100015","37ugDnt4m4BSm0VAFwd5Li"
"小情歌","sodagreen","小宇宙","CCC","Playlist","TWF670600303","4FhJ7YSRxATHnaRg4nGs6t"
"天外来物","Joker Xue","天外来物","CCC","Playlist","CNZ502001151","4evIzA3tOUSwIH1TVOri8c"
"月牙灣","F.I.R.","愛‧歌姬","CCC","Playlist","TWA530757807","1b5IRT3iraxjHOsKZx93sW"
"不將就 (電影""何以笙簫默""片尾曲)","Ronghao Li","有理想","CCC","Playlist","TWA531509039","5DH8nF7aWoXXg5Sm3gjCWD"
"聽海","A-Mei Chang","Bad Boy","CCC","Playlist","TWB519703505","2WWDsBLNL4czuVcg7rjfy2"
"不為誰而作的歌","JJ Lin","""和自己對話"" 實驗專輯","CCC","Playlist","TWA531576502","0VqSdtXseb9khdZrnYVyM1"
"愛情轉移","Eason Chan","認了吧","CCC","Playlist","HKUM70600455","5geqxGTn2dFte1KywqcXYq"
"開始懂了","Stefanie Sun","我要的幸福","CCC","Playlist","TWA530000205","68tZwwRuo9ip5gRQFG1XWF"
"泡沫","G.E.M.","Xposed","CCC","Playlist","HKI111200214","2IfSPLPDW6RGosdB5huwAA"
"美丽的神话","孙楠","美丽的神话","CCC","Playlist","TCAIA2441009","45FXudtRNZXioqjNGvwp0I"
"飛雲之下","韓紅","飛雲之下","CCC","Playlist","HKE051800063","7M9iRFedB4SkCHE22Y9Fvr"
"天路","韩红","情倾新西藏","CCC","Playlist","DGA0P2300998","5jZIMcCsiBWsi7uzx7PJce"
"天亮了 - Live","韩红","我是歌手第三季 (第一期 Live)","CCC","Playlist","DGA062372393","1BjQdZdHRdZCx2KcejAo8n"
"左手指月 (電視劇《香蜜沉沉燼如霜》片尾曲)","Sa Dingding","左手指月 (電視劇《香蜜沉沉燼如霜》片尾曲)","CCC","Playlist","TWU711801376","42EQCjMT4vvNN1Yov6rYX3"
"萬物生 - Chinese Version","Sa Dingding","華語時光機","CCC","Playlist","HKUM70700747","6sTWoPNGYEjBk8zptQs7Gt"
